User Id,avg_total_steps,avg_calories,max_calories,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,max_resting_minutes,max_resting_date,max_active_minutes,max_active_date,activity_level
4558609924,7685.1290322580645161,2033.2580645161290323,386,1093.6129032258064516,284.9677419354838710,13.7096774193548387,10.3870967741935484,0.5493548389884728,0.6822580661504504,3.847741946097343,0,1287,2016-04-13 00:00:00,66,2016-05-08 00:00:00,Low Very Active Distance
2320127002,4716.8709677419354839,1724.1612903225806452,191,1220.0967741935483871,198.1935483870967742,2.5806451612903226,1.3548387096774194,0.10677419302444308,0.09774193456096031,2.9803225667245927,0,1400,2016-05-01 00:00:00,20,2016-05-03 00:00:00,Low Very Active Distance
1624580081,5743.9032258064516129,1483.3548387096774194,374,1257.7419354838709677,153.4838709677419355,5.8064516129032258,8.6774193548387097,0.939354842708955,0.36064516200173274,2.606774180166182,0.006129032121069974,1349,2016-05-09 00:00:00,186,2016-05-01 00:00:00,Low Very Active Distance
4319703577,7268.8387096774193548,2037.6774193548387097,279,735.8064516129032258,228.7741935483870968,12.3225806451612903,3.5806451612903226,0.2780645162828509,0.502258064766084,3.768709638366295,0,1440,2016-04-12 00:00:00,27,2016-05-05 00:00:00,Low Very Active Distance
2026352035,5566.8709677419354839,1540.6451612903225806,171,689.4193548387096774,256.6451612903225806,0.25806451612903225806,0.09677419354838709677,0.00612903218115529,0.01129032238837213,3.436129040295078,0,1062,2016-04-18 00:00:00,3,2016-04-12 00:00:00,Low Very Active Distance
4445114986,4796.5483870967741935,2186.1935483870967742,356,829.9032258064516129,209.0967741935483871,1.7419354838709677,6.6129032258064516,0.5232258109796432,0.0754838703019965,2.6448387099850557,0,1247,2016-04-18 00:00:00,34,2016-05-11 00:00:00,Low Very Active Distance
5577150313,8304.4333333333333333,3359.6333333333333333,612,754.4333333333333333,147.9333333333333333,29.8333333333333333,87.3333333333333333,3.113666655619939,0.65800000478824,2.427999989191692,0,1440,2016-05-07 00:00:00,210,2016-04-24 00:00:00,Moderate Very Active Distance
1844505072,2580.0645161290322581,1573.4838709677419355,184,1206.6129032258064516,115.4516129032258065,1.2903225806451613,0.12903225806451612903,0.008387096706897967,0.04903225648787716,1.647419338505115,0,1440,2016-04-24 00:00:00,2,2016-04-17 00:00:00,Low Very Active Distance
1927972279,916.1290322580645161,2172.8064516129032258,265,1317.4193548387096774,38.5806451612903226,0.77419354838709677419,1.3225806451612903,0.09580645085342482,0.03129032296278783,0.5070967686272442,0,1440,2016-04-16 00:00:00,16,2016-05-02 00:00:00,Low Very Active Distance
6775888955,2519.6923076923076923,2131.7692307692307692,350,1299.4230769230769231,40.1538461538461538,14.8076923076923077,11.0000000000000000,0.7092307667033027,0.38423076959756697,0.7115384657652334,0,1440,2016-04-12 00:00:00,70,2016-04-20 00:00:00,Low Very Active Distance
1503960366,12116.741935483871,1816.4193548387096774,318,848.1612903225806452,219.9354838709677419,19.1612903225806452,38.7096774193548387,2.8583871126174927,0.7941935403693109,4.152903241495931,0,1440,2016-05-12 00:00:00,78,2016-04-27 00:00:00,Moderate Very Active Distance
7086361926,9371.7741935483870968,2566.3548387096774194,633,850.4516129032258065,143.8387096774193548,25.3548387096774194,42.5806451612903226,2.781290325426286,0.7732258047307693,2.8187096621841197,0,1440,2016-04-17 00:00:00,87,2016-04-20 00:00:00,Moderate Very Active Distance
8378563200,8717.7096774193548387,3436.5806451612903226,669,716.1290322580645161,156.0967741935483871,10.2580645161290323,58.6774193548387097,2.503548401978707,0.5190322548151015,3.889354821174376,0,851,2016-05-07 00:00:00,137,2016-04-21 00:00:00,Moderate Very Active Distance
3372868164,6861.6500000000000000,1933.1000000000000000,277,1077.5500000000000000,327.9000000000000000,4.1000000000000000,9.1500000000000000,0.6294999971985812,0.15299999844282858,3.909999966621399,0.010999999754130846,1234,2016-04-22 00:00:00,24,2016-04-27 00:00:00,Low Very Active Distance
3977333714,10984.566666666667,1513.6666666666666667,265,707.5333333333333333,174.7666666666666667,61.2666666666666667,18.9000000000000000,1.6149999824663002,2.750999979178111,3.1343333443005887,0,1159,2016-05-09 00:00:00,50,2016-04-25 00:00:00,Low Very Active Distance
6962181067,9794.8064516129032258,1982.0322580645161290,349,662.3225806451612903,245.8064516129032258,18.5161290322580645,22.8064516129032258,1.6164516191328726,0.9599999934434885,4.001612924760388,0.006774193577228064,862,2016-04-14 00:00:00,62,2016-05-10 00:00:00,Low Very Active Distance
7007744171,11323.423076923077,2544.0000000000000000,493,1055.3461538461538462,280.7307692307692308,16.2692307692307692,31.0384615384615385,2.4149999870703773,0.7384615299793389,4.861538446866549,0.000769230752037123,1440,2016-05-04 00:00:00,64,2016-04-22 00:00:00,Moderate Very Active Distance
1644430081,7282.9666666666666667,2811.3000000000000000,456,1161.8666666666666667,178.4666666666666667,21.3666666666666667,9.5666666666666667,0.7300000009437403,0.9510000019023815,3.6090000212192535,0.003999999910593035,1402,2016-04-21 00:00:00,51,2016-04-16 00:00:00,Low Very Active Distance
4702921684,8572.0645161290322581,2965.5483870967741935,399,766.4193548387096774,237.4838709677419355,26.0322580645161290,5.1290322580645161,0.41741935476180064,1.3048387092928728,5.225483921266371,0,1440,2016-05-01 00:00:00,22,2016-04-18 00:00:00,Low Very Active Distance
2022484408,11370.645161290323,2509.9677419354838710,486,1112.5806451612903226,257.4516129032258065,19.3548387096774194,36.2903225806451613,2.4216128837677737,0.7200000031340499,4.942580638393279,0,1305,2016-05-08 00:00:00,104,2016-04-21 00:00:00,Moderate Very Active Distance
2873212765,7555.7741935483870968,1916.9677419354838710,410,1097.1935483870967742,308.0000000000000000,6.1290322580645161,14.0967741935483871,0.6761290309650283,0.2761290323349737,4.143548413630454,0.00516129020721682,1302,2016-05-07 00:00:00,75,2016-05-07 00:00:00,Low Very Active Distance
5553957443,8612.5806451612903226,1875.6774193548387097,304,668.3548387096774194,206.1935483870967742,13.0000000000000000,23.4193548387096774,1.4641935488870064,0.6690322631789796,3.504516095884384,0,943,2016-04-17 00:00:00,69,2016-04-19 00:00:00,Low Very Active Distance
6117666160,7046.7142857142857143,2261.1428571428571429,249,796.2857142857142857,288.3571428571428571,2.0357142857142857,1.5714285714285714,0.12821428477764124,0.08392857228006635,4.843214298997608,0,1440,2016-04-12 00:00:00,26,2016-04-20 00:00:00,Low Very Active Distance
2347167796,9519.6666666666666667,2043.4444444444444444,334,687.1666666666666667,252.5000000000000000,20.5555555555555556,13.5000000000000000,1.0594444330781696,1.0749999913904404,4.221666708485121,0,1011,2016-04-20 00:00:00,66,2016-04-16 00:00:00,Low Very Active Distance
4388161847,10813.935483870968,3093.8709677419354839,592,836.6774193548387097,229.3548387096774194,20.3548387096774194,23.1612903225806452,1.7193548346479097,0.9019354778912759,5.396129046716998,0,1440,2016-04-12 00:00:00,120,2016-05-07 00:00:00,Low Very Active Distance
8053475328,14763.290322580645,2945.8064516129032258,651,1148.0000000000000000,150.9677419354838710,9.5806451612903226,85.1612903225806452,8.514838741671657,0.4238709647568962,2.5338709546673686,0,1389,2016-05-01 00:00:00,132,2016-04-15 00:00:00,High Very Active Distance
8792009665,1853.7241379310344828,1962.3103448275862069,304,1060.4827586206896552,91.7931034482758621,4.0344827586206897,0.96551724137931034483,0.024827586551164734,0.058275862629043655,1.1034482707237374,0,1440,2016-04-17 00:00:00,10,2016-04-30 00:00:00,Low Very Active Distance
4020332650,2267.2258064516129032,2385.8064516129032258,476,1237.2580645161290323,76.9354838709677419,5.3548387096774194,5.1935483870967742,0.14225806103598682,0.1296774168168345,1.308387081949941,0.005483870965338522,1440,2016-04-13 00:00:00,65,2016-04-16 00:00:00,Low Very Active Distance
4057192912,3838.0000000000000000,1973.7500000000000000,161,1217.2500000000000000,103.0000000000000000,1.5000000000000000,0.75000000000000000000,0.05249999836087225,0.06499999761581425,2.6875,0,1440,2016-04-14 00:00:00,3,2016-04-15 00:00:00,Low Very Active Distance
8253242879,6482.1578947368421053,1788.0000000000000000,462,1287.3684210526315789,116.8947368421052632,14.3157894736842105,20.5263157894736842,2.214210489862843,0.6957894767585548,1.754736845430575,0.0005263157777096095,1440,2016-04-30 00:00:00,49,2016-04-21 00:00:00,Moderate Very Active Distance
8877689391,16040.032258064516,3420.2580645161290323,948,1112.8709677419354839,234.7096774193548387,9.9354838709677419,66.0645161290322581,6.637419362342162,0.337741934844563,6.188709674342987,0.005161290327387475,1335,2016-05-02 00:00:00,124,2016-04-30 00:00:00,High Very Active Distance
6290855005,5649.5517241379310345,2599.6206896551724138,531,1193.0344827586206897,227.4482758620689655,3.7931034482758621,2.7586206896551724,0.08551724203701694,0.12827586305552513,4.048620709057513,0.008620689462484983,1440,2016-04-21 00:00:00,33,2016-04-23 00:00:00,Low Very Active Distance
8583815059,7198.5161290322580645,2732.0322580645161290,597,1267.2258064516129032,138.2903225806451613,22.1935483870967742,9.6774193548387097,0.7980645258099804,1.020645152897604,2.617419346686333,0,1440,2016-04-16 00:00:00,77,2016-04-27 00:00:00,Low Very Active Distance
